primary_name,RoomType,TotalCount,KingSize,QueenSize,TwinBedded,HollywoodTwins,Single_Sofa-cum-bed,TotalRoomSize,BedRoomSize,LivingRoomSize,View,RoomDescription,Balcony,MaxOccupancy,Amenities
Sterling Ooty Fern Hill,ROOM CAT -2 (Premier),47,47,,Nil,Nil,,250,200,,"Garden,Mountain and Valley View","This is 1 room with attached bathroom, has sofa cum bed for 1 people.",13 rooms have balcony,3Adults + 1 Kid (2 to 12yr),"TCM, mini bar fridge,heater, hair dryer//TV 32''"
Sterling Ooty Fern Hill,ROOM CAT-3 (Privilege Suite),70,70,,Nil,Nil,,400,350,,"Garden,Mountain and Valley View","This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed, sofa cum bed which can be converted to bed for 2 people.",16 rooms have balcony,4 Adults,"TCM,Mini bar fridge, heater, hair dryer//TV 32''"
Sterling Ooty Fern Hill,ROOM CAT-4 (Family Suite),30,30,,Nil,Nil,,550,450,,"Garden,Mountain and Valley View","Combination of 2 bed rooms, Both bedroom is having queen size bed, one attached washroom, one will be common with Living area. One sofa bed is in drawing room for 2 people.",4 Balcony rooms,5Adults + 1 Kid (2 to 12yr),"TCM,Mini bar fridge, 2heaters, hair dryer//TV 32''"
Sterling Wayanad,ENTIRE RESORT,61,61,,0,0,,,,,,,,,
Sterling Wayanad,ROOM CAT-1 (Classic),19,19,,0,0,,265,196,,"Garden (5) Forest (5) 9 rooms with No view.",This is 1 room with attached bathroom,13 Have balcony and 6 don't have,2 adults and 1 children / 3 adults,"2 Filtered water bottles of 1 litre each, Tea Coffee maker, LED 42,free wi-fi"
Sterling Wayanad,ROOM CAT -2 (Premier),22,22,,0,0,,395,200,,Garden,"This is 1 room with attached bathroom, has sofa cum bed",Y,2 adults and 2 children / 3 adults,"2 Filtered water bottles of 1 litre each, Tea Coffee maker, LED 42,free wi-fi"
Sterling Wayanad,ROOM CAT-3 (Privilege Suite),20,20,,0,0,,580,"Bed room : 250 Living room : 150",,Garden,"This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed, sofa cum bed can become a master bed. Has dining also in same hall as drawing room.",8 Have balcony and 12 don't have balconies. All Privilege Suite have front sit out areas.,3 adults and 2 children / 4 adults,"2 Filtered water bottles of 1 litre each, Tea Coffee maker, LED 42,free wi-fi"
Sterling Pushkar,ENTIRE RESORT,35,35,,0,0,,,,,Mountain View,,,,
Sterling Pushkar,ROOM CAT-1 (Classic),28,28,,0,0,,250,150,,Mountain View (28),This is 1 bedroom with attached bathroom,N,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, mini refrigerator, hair drier"
Sterling Pushkar,ROOM CAT -2 (Premium),5,5,,0,0,,375,180,,"Sun Set View (4) / Mountain View (1)","This is 1 bedroom with attached bathroom, has two chairs cum bed",N,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, mini refrigerator, hair drier"
Sterling Pushkar,ROOM CAT-3 (Privilege Suite),2,2,,0,0,,450,225,,Mountain View & Garden (1),"This has 2 rooms - 1 Bed room + 1 Drawing room with sofa cum bed, sofa cum bed can become a master bed. Has dining also in same hall as drawing room.",N,2 Adults + 1 kid / 3 Adults,"Tea Coffee maker, LED 42 TV, mini refrigerator, hair drier"
Sterling Aravalli,ENTIRE RESORT,48,48,,22,0,,NA,NA,,Pool View / Mountain View,"44 Classic, 14 Premier, 4 Privilege Suite, 8 Haveli rooms. Pool view and garden view.",,,
Sterling Aravalli,ROOM CAT-1 (Classic),26,26,,18,0,,338 - 343 Sq ft,241 - 246 Sq ft,,Pool View,contemporary 338sq.ft room that comes with an option of queen / twin beds and can accommodate a maximum of 2 adults and 1 child. Classic bed room size varies from 241 - 246 Square feet,Yes,2 Adults + 1 kid / 3 Adults,"TV , AC, Tea Maker , safe locker , Hot water provision"
